#"Step","Temperature (K)"
1000,307.71388421725777
2000,316.8009930023583
3000,308.1937216299376
4000,306.8396276690025
5000,308.64761539911984
6000,309.8820059736552
7000,309.72104053367786
8000,314.10540869925615
9000,309.87163000354064
10000,315.3614739546856
11000,308.6930595621298
12000,310.9802046349154
13000,308.66124018669103
14000,310.00202767327653
15000,312.8371313326982
16000,310.1684919504202
17000,311.1779574272549
18000,308.5021742853545
19000,309.4592269358432
20000,315.4612166368753
21000,308.5726498118712
22000,307.8204446804057
23000,304.27542998997865
24000,312.2520203457765
25000,310.0924259242088
26000,313.5569573243862
27000,310.14174364628036
28000,310.4014407565357
29000,313.8344047482475
30000,312.4392069314634
31000,306.1397638453742
32000,314.1398700074558
33000,310.23698591654477
34000,309.16866492691554
35000,312.1300408969253
36000,306.98220950485967
37000,311.1500247227624
38000,308.7284605400676
39000,312.03697797400827
40000,310.53865891555597
41000,310.8862364259784
42000,313.28953845994
43000,315.57933393791365
44000,306.11271941322
45000,312.73965206968666
46000,309.2539747296151
47000,308.41452966158135
48000,313.4862783034229
49000,315.202727927872
50000,305.75097648803114
51000,306.14050066369634
52000,314.38653635352347
53000,307.9526326549607
54000,308.3621128048207
55000,310.87408659230607
56000,309.32308789206127
57000,308.8391547749888
58000,315.58641925115734
59000,313.1081313745163
60000,307.36118531131274
61000,307.3224868291804
62000,307.8901874371745
63000,311.8667928262304
64000,316.00303996950294
65000,314.3010585943179
66000,308.9957132244018
67000,309.13329107138986
68000,306.467038001365
69000,306.0947585302082
70000,316.1508838493608
71000,311.1751323530657
72000,308.71570184465224
73000,313.0965932165367
74000,311.7836861414361
75000,309.6954044782661
76000,307.0044382082911
77000,314.78725068623174
78000,312.19075636823743
79000,314.32450680124975
80000,311.22561534689964
81000,311.5517800153867
82000,313.9920113467752
83000,311.7042395260174
84000,313.1013924371546
85000,311.8084475536279
86000,312.4061240417387
87000,306.56049162165647
88000,310.75772948213915
89000,307.3594863346629
90000,309.88087012536363
91000,314.3106542134118
92000,314.79557279700754
93000,309.334477978084
94000,314.37908007346607
95000,306.06764667402024
96000,310.5475790996699
97000,308.1621036253976
98000,312.1565775385597
99000,308.371550115748
100000,308.96936839038324
